time,rps
1696093747461,40
1696093748461,40
1696093749461,1
1696093750461,40
1696093751461,40
1696093752461,40
1696093753461,40
1696093754461,40
1696093755461,40
1696093756461,31
1696093757461,40
1696093758461,1
1696093759461,40
1696093760461,40
1696093761461,40
1696093762461,40
1696093763461,40
1696093764461,40
1696093765461,40
1696093766461,40
1696093767461,40
1696093768461,40
1696093769461,38
1696093770461,40
1696093771461,40
1696093772461,40
1696093773461,40
1696093774461,40
1696093775461,40
1696093776461,29
1696093777461,40
1696093778461,40
1696093779461,40
1696093780461,40
1696093781461,40
1696093782461,40
1696093783461,40
1696093784461,40
1696093785461,40
1696093786461,40
1696093787461,40
1696093788461,40
1696093789461,38
1696093790461,38
1696093791461,16
1696093792461,40
1696093793461,40
1696093794461,40
1696093795461,40
1696093796461,40
1696093797461,40
1696093798461,40
1696093799461,1
1696093800461,1
1696093801461,4
1696093802461,40
1696093803461,40
1696093804461,40
1696093805461,40
1696093806461,40
1696093807461,40
1696093808461,40
1696093809461,40
1696093810461,40
1696093811461,40
1696093812461,40
1696093813461,40
1696093814461,1
1696093815461,40
1696093816461,16
1696093817461,40
1696093818461,40
1696093819461,40
1696093820461,40
1696093821461,40
1696093822461,40
1696093823461,40
1696093824461,40
1696093825461,40
1696093826461,40
1696093827461,40
1696093828461,40
1696093829461,40
1696093830461,40
1696093831461,40
1696093832461,40
1696093833461,40
1696093834461,40
1696093835461,40
1696093836461,40
1696093837461,40
1696093838461,40
1696093839461,40
1696093840461,40
1696093841461,40
1696093842461,40
1696093843461,40
1696093844461,40
1696093845461,40
1696093846461,40
1696093847461,40
1696093848461,35
1696093849461,40
1696093850461,40
1696093851461,40
1696093852461,40
1696093853461,40
1696093854461,40
1696093855461,40
1696093856461,39
1696093857461,40
1696093858461,40
1696093859461,40
1696093860461,40
1696093861461,40
1696093862461,40
1696093863461,40
1696093864461,40
1696093865461,40
1696093866461,40
1696093867461,40
1696093868461,40
1696093869461,40
1696093870461,40
1696093871461,40
1696093872461,40
1696093873461,40
1696093874461,40
1696093875461,40
1696093876461,40
1696093877461,40
1696093878461,40
1696093879461,40
1696093880461,26
1696093881461,40
1696093882461,40
1696093883461,27
1696093884461,40
1696093885461,40
1696093886461,40
1696093887461,40
1696093888461,40
1696093889461,40
1696093890461,40
1696093891461,40
1696093892461,40
1696093893461,40
1696093894461,40
1696093895461,40
1696093896461,40
1696093897461,40
1696093898461,40
1696093899461,40
1696093900461,40
1696093901461,40
1696093902461,40
1696093903461,40
1696093904461,40
1696093905461,40
1696093906461,40
1696093907461,40
1696093908461,40
1696093909461,28
1696093910461,40
1696093911461,40
1696093912461,40
1696093913461,40
1696093914461,40
1696093915461,40
1696093916461,40
1696093917461,15
1696093918461,40
1696093919461,40
1696093920461,40
1696093921461,40
1696093922461,40
1696093923461,40
1696093924461,40
1696093925461,40
1696093926461,40
1696093927461,36
1696093928461,40
1696093929461,1
1696093930461,1
1696093931461,40
1696093932461,40
1696093933461,40
1696093934461,40
1696093935461,40
1696093936461,40
1696093937461,40
1696093938461,40
1696093939461,40
1696093940461,40
1696093941461,40
1696093942461,40
1696093943461,40
1696093944461,40
1696093945461,40
1696093946461,40
1696093947461,40
1696093948461,40
1696093949461,40
1696093950461,40
1696093951461,40
1696093952461,40
1696093953461,40
1696093954461,40
1696093955461,40
1696093956461,40
1696093957461,40
1696093958461,35
1696093959461,28
1696093960461,28
1696093961461,40
1696093962461,40
1696093963461,40
1696093964461,40
1696093965461,40
1696093966461,40
1696093967461,40
1696093968461,40
1696093969461,40
1696093970461,6
1696093971461,6
1696093972461,40
1696093973461,40
1696093974461,40
1696093975461,40
1696093976461,40
1696093977461,40
1696093978461,40
1696093979461,40
1696093980461,40
1696093981461,40
1696093982461,40
1696093983461,37
1696093984461,37
1696093985461,40
1696093986461,40
1696093987461,40
1696093988461,40
1696093989461,40
1696093990461,40
1696093991461,40
1696093992461,40
1696093993461,40
1696093994461,40
1696093995461,40
1696093996461,40
1696093997461,40
1696093998461,40
1696093999461,40
1696094000461,40
1696094001461,40
1696094002461,39
1696094003461,39
1696094004461,40
1696094005461,40
1696094006461,40
1696094007461,40
1696094008461,40
1696094009461,40
1696094010461,40
1696094011461,40
1696094012461,40
1696094013461,40
1696094014461,40
1696094015461,40
1696094016461,40
1696094017461,37
1696094018461,40
1696094019461,40
1696094020461,40
1696094021461,40
1696094022461,40
1696094023461,40
1696094024461,40
1696094025461,6
1696094026461,40
1696094027461,40
1696094028461,40
1696094029461,1
1696094030461,40
1696094031461,40
1696094032461,40
1696094033461,40
1696094034461,40
1696094035461,40
1696094036461,40
1696094037461,40
1696094038461,40
1696094039461,40
1696094040461,40
1696094041461,40
1696094042461,40
