time,rps
1696095483400,40
1696095484400,40
1696095485400,40
1696095486400,40
1696095487400,40
1696095488400,40
1696095489400,40
1696095490400,40
1696095491400,40
1696095492400,40
1696095493400,40
1696095494400,40
1696095495400,40
1696095496400,40
1696095497400,40
1696095498400,1
1696095499400,1
1696095500400,40
1696095501400,40
1696095502400,40
1696095503400,40
1696095504400,40
1696095505400,40
1696095506400,40
1696095507400,40
1696095508400,40
1696095509400,40
1696095510400,40
1696095511400,40
1696095512400,40
1696095513400,40
1696095514400,40
1696095515400,40
1696095516400,40
1696095517400,40
1696095518400,40
1696095519400,40
1696095520400,40
1696095521400,40
1696095522400,40
1696095523400,40
1696095524400,40
1696095525400,40
1696095526400,40
1696095527400,40
1696095528400,40
1696095529400,40
1696095530400,40
1696095531400,40
1696095532400,40
1696095533400,40
1696095534400,40
1696095535400,40
1696095536400,40
1696095537400,1
1696095538400,40
1696095539400,40
1696095540400,40
1696095541400,40
1696095542400,40
1696095543400,40
1696095544400,40
1696095545400,40
1696095546400,40
1696095547400,40
1696095548400,40
1696095549400,40
1696095550400,40
1696095551400,40
1696095552400,40
1696095553400,40
1696095554400,40
1696095555400,40
1696095556400,40
1696095557400,19
1696095558400,40
1696095559400,40
1696095560400,40
1696095561400,40
1696095562400,40
1696095563400,40
1696095564400,40
1696095565400,40
1696095566400,40
1696095567400,40
1696095568400,40
1696095569400,40
1696095570400,40
1696095571400,40
1696095572400,40
1696095573400,40
1696095574400,40
1696095575400,40
1696095576400,1
1696095577400,40
1696095578400,40
1696095579400,40
1696095580400,40
1696095581400,40
1696095582400,40
1696095583400,40
1696095584400,40
1696095585400,40
1696095586400,40
1696095587400,40
1696095588400,40
1696095589400,40
1696095590400,40
1696095591400,40
1696095592400,40
1696095593400,40
1696095594400,40
1696095595400,40
1696095596400,40
1696095597400,40
1696095598400,40
1696095599400,40
1696095600400,40
1696095601400,40
1696095602400,40
1696095603400,40
1696095604400,40
1696095605400,40
1696095606400,40
1696095607400,40
1696095608400,40
1696095609400,40
1696095610400,40
1696095611400,40
1696095612400,36
1696095613400,29
1696095614400,4
1696095615400,40
1696095616400,40
1696095617400,40
1696095618400,40
1696095619400,40
1696095620400,40
1696095621400,40
1696095622400,40
1696095623400,40
1696095624400,40
1696095625400,40
1696095626400,40
1696095627400,40
1696095628400,40
1696095629400,40
1696095630400,40
1696095631400,40
1696095632400,40
1696095633400,40
1696095634400,40
1696095635400,40
1696095636400,40
1696095637400,40
1696095638400,40
1696095639400,40
1696095640400,40
1696095641400,40
1696095642400,40
1696095643400,40
1696095644400,40
1696095645400,40
1696095646400,40
1696095647400,40
1696095648400,40
1696095649400,40
1696095650400,40
1696095651400,40
1696095652400,40
1696095653400,40
1696095654400,40
1696095655400,40
1696095656400,40
1696095657400,40
1696095658400,40
1696095659400,40
1696095660400,40
1696095661400,40
1696095662400,40
1696095663400,31
1696095664400,11
1696095665400,1
1696095666400,40
1696095667400,40
1696095668400,40
1696095669400,40
1696095670400,40
1696095671400,40
1696095672400,40
1696095673400,40
1696095674400,40
1696095675400,40
1696095676400,40
1696095677400,40
1696095678400,40
1696095679400,40
1696095680400,40
1696095681400,40
1696095682400,40
1696095683400,40
1696095684400,1
1696095685400,1
1696095686400,40
1696095687400,40
1696095688400,40
1696095689400,40
1696095690400,40
1696095691400,40
1696095692400,40
1696095693400,40
1696095694400,40
1696095695400,40
1696095696400,40
1696095697400,40
1696095698400,40
1696095699400,40
1696095700400,40
1696095701400,40
1696095702400,40
1696095703400,40
1696095704400,40
1696095705400,40
1696095706400,40
1696095707400,40
1696095708400,40
1696095709400,40
1696095710400,40
1696095711400,40
1696095712400,40
1696095713400,40
1696095714400,38
1696095715400,35
1696095716400,25
1696095717400,8
1696095718400,40
1696095719400,40
1696095720400,40
1696095721400,40
1696095722400,40
1696095723400,40
1696095724400,40
1696095725400,40
1696095726400,40
1696095727400,40
1696095728400,40
1696095729400,40
1696095730400,40
1696095731400,40
1696095732400,40
1696095733400,40
1696095734400,40
1696095735400,40
1696095736400,40
1696095737400,1
1696095738400,40
1696095739400,40
1696095740400,40
1696095741400,40
1696095742400,40
1696095743400,40
1696095744400,40
1696095745400,40
1696095746400,40
1696095747400,40
1696095748400,40
1696095749400,40
1696095750400,40
1696095751400,40
1696095752400,40
1696095753400,40
1696095754400,40
1696095755400,40
1696095756400,40
1696095757400,40
1696095758400,40
1696095759400,40
1696095760400,40
1696095761400,40
1696095762400,40
1696095763400,40
1696095764400,40
1696095765400,40
1696095766400,40
1696095767400,40
1696095768400,36
1696095769400,28
1696095770400,24
1696095771400,23
1696095772400,40
1696095773400,40
1696095774400,40
1696095775400,40
1696095776400,40
1696095777400,40
1696095778400,40
1696095779400,40
1696095780400,40
1696095781400,40
1696095782400,40
1696095783400,40
1696095784400,40
1696095785400,40
1696095786400,40
1696095787400,40
1696095788400,40
1696095789400,40
1696095790400,40
1696095791400,1
1696095792400,40
1696095793400,40
1696095794400,40
1696095795400,40
1696095796400,40
1696095797400,40
1696095798400,40
1696095799400,40
1696095800400,40
1696095801400,40
1696095802400,40
1696095803400,40
1696095804400,40
1696095805400,40
1696095806400,40
1696095807400,40
1696095808400,40
1696095809400,40
1696095810400,40
1696095811400,40
1696095812400,40
1696095813400,40
1696095814400,40
1696095815400,40
1696095816400,40
1696095817400,40
1696095818400,40
1696095819400,40
1696095820400,40
1696095821400,40
1696095822400,40
1696095823400,34
1696095824400,25
