time,rps
1696091726948,30.5
1696091727948,28
1696091728948,39
1696091729948,30.5
1696091730948,30.25
1696091731948,32.75
1696091732948,22.5
1696091733948,32
1696091734948,30.5
1696091735948,30.25
1696091736948,39.75
1696091737948,28.75
1696091738948,30.25
1696091739948,30.5
1696091740948,26.5
1696091741948,37.5
1696091742948,30.5
1696091743948,30.25
1696091744948,34.25
1696091745948,23.25
1696091746948,30.75
1696091747948,30.5
1696091748948,30.25
1696091749948,40.5
1696091750948,30
1696091751948,30.25
1696091752948,30.5
