time,rps
1696094441232,10.25
1696094442232,10.5
1696094443232,10.25
1696094444232,10
1696094445232,20.25
1696094446232,12.25
1696094447232,20.5
1696094448232,20.25
1696094449232,20.25
1696094450232,20.25
1696094451232,20.25
1696094452232,20.25
1696094453232,20.25
1696094454232,20.25
1696094455232,20.25
1696094456232,22.25
1696094457232,20.25
1696094458232,20.25
1696094459232,20
1696094460232,18.25
1696094461232,20.25
1696094462232,20.25
1696094463232,19
1696094464232,20.25
1696094465232,12
1696094466232,20.25
1696094467232,11.75
1696094468232,19.75
1696094469232,18.25
1696094470232,19.75
1696094471232,20.25
1696094472232,12.25
1696094473232,20.25
1696094474232,19.5
1696094475232,20.25
1696094476232,18.75
1696094477232,20.25
1696094478232,11.25
1696094479232,20.25
1696094480232,20.25
1696094481232,18.5
1696094482232,20.25
1696094483232,11.25
1696094484232,19.75
1696094485232,12
1696094486232,10.25
1696094487232,19
1696094488232,20.75
1696094489232,20.25
1696094490232,30
1696094491232,20.25
1696094492232,20.25
1696094493232,20.25
1696094494232,20.5
1696094495232,20.5
1696094496232,19.75
1696094497232,20.25
1696094498232,10.25
1696094499232,20
1696094500232,19.5
1696094501232,20.25
1696094502232,20.25
1696094503232,20.25
1696094504232,20.75
1696094505232,20.25
1696094506232,20.25
1696094507232,20
1696094508232,10.75
1696094509232,20.25
1696094510232,20.25
1696094511232,17.25
1696094512232,20.25
1696094513232,19.75
1696094514232,20.25
1696094515232,14.75
1696094516232,20.25
1696094517232,20
1696094518232,20.25
1696094519232,19
1696094520232,20.25
1696094521232,19.5
1696094522232,20.25
1696094523232,20.25
1696094524232,20
1696094525232,11.5
1696094526232,20.25
1696094527232,20.25
1696094528232,19.5
1696094529232,20.25
1696094530232,19.25
1696094531232,20.25
1696094532232,11.25
1696094533232,20.25
1696094534232,15.25
1696094535232,20.25
1696094536232,20.25
1696094537232,19.25
1696094538232,16
1696094539232,20.25
1696094540232,20.25
1696094541232,20
1696094542232,20.25
1696094543232,19.5
1696094544232,20.25
1696094545232,11.5
1696094546232,20.25
1696094547232,12
1696094548232,20.25
1696094549232,20.25
1696094550232,19.75
1696094551232,19
1696094552232,19.75
1696094553232,20.25
1696094554232,10.75
1696094555232,20
1696094556232,10.5
1696094557232,20.25
1696094558232,20.25
1696094559232,20.25
