time,rps
1696191433420,40
1696191434420,40
1696191435420,40
1696191436420,40
1696191437420,40
1696191438420,40
1696191439420,40
1696191440420,40
1696191441420,40
1696191442420,40
1696191443420,40
1696191444420,40
1696191445420,40
1696191446420,40
1696191447420,40
1696191448420,40
1696191449420,40
1696191450420,40
1696191451420,40
1696191452420,40
1696191453420,40
1696191454420,40
1696191455420,40
1696191456420,40
1696191457420,40
1696191458420,40
1696191459420,40
1696191460420,40
1696191461420,3
1696191462420,3
1696191463420,40
1696191464420,40
1696191465420,40
1696191466420,40
1696191467420,40
1696191468420,40
1696191469420,40
1696191470420,40
1696191471420,40
1696191472420,40
1696191473420,40
1696191474420,40
1696191475420,40
1696191476420,40
1696191477420,40
1696191478420,40
1696191479420,40
1696191480420,40
1696191481420,40
1696191482420,40
1696191483420,40
1696191484420,40
1696191485420,40
1696191486420,40
1696191487420,40
1696191488420,40
1696191489420,40
1696191490420,40
1696191491420,40
1696191492420,40
1696191493420,40
1696191494420,40
1696191495420,40
1696191496420,40
1696191497420,40
1696191498420,40
1696191499420,40
1696191500420,40
1696191501420,40
1696191502420,40
1696191503420,40
1696191504420,40
1696191505420,40
1696191506420,40
1696191507420,40
1696191508420,40
1696191509420,40
1696191510420,40
1696191511420,40
1696191512420,40
1696191513420,40
1696191514420,40
1696191515420,40
1696191516420,40
1696191517420,40
1696191518420,40
1696191519420,40
1696191520420,2
1696191521420,40
1696191522420,40
1696191523420,40
1696191524420,40
1696191525420,40
1696191526420,40
1696191527420,39
1696191528420,39
1696191529420,40
1696191530420,40
1696191531420,40
1696191532420,40
1696191533420,40
1696191534420,40
1696191535420,40
1696191536420,40
1696191537420,40
1696191538420,40
1696191539420,40
1696191540420,40
1696191541420,40
1696191542420,40
1696191543420,39
1696191544420,39
1696191545420,40
1696191546420,40
1696191547420,40
1696191548420,40
1696191549420,40
1696191550420,40
1696191551420,40
1696191552420,40
1696191553420,1
1696191554420,1
1696191555420,26
1696191556420,40
1696191557420,40
1696191558420,40
1696191559420,40
1696191560420,40
1696191561420,40
1696191562420,40
1696191563420,40
1696191564420,40
1696191565420,40
1696191566420,40
1696191567420,40
1696191568420,40
1696191569420,40
1696191570420,40
1696191571420,40
1696191572420,40
1696191573420,40
1696191574420,40
1696191575420,40
1696191576420,40
1696191577420,40
1696191578420,40
1696191579420,40
1696191580420,40
1696191581420,40
1696191582420,40
1696191583420,40
1696191584420,40
1696191585420,40
1696191586420,40
1696191587420,40
1696191588420,40
1696191589420,40
1696191590420,40
1696191591420,40
1696191592420,40
1696191593420,31
1696191594420,40
1696191595420,40
1696191596420,40
1696191597420,40
1696191598420,40
1696191599420,40
1696191600420,40
1696191601420,40
1696191602420,40
1696191603420,40
1696191604420,40
1696191605420,40
1696191606420,40
1696191607420,40
1696191608420,40
1696191609420,40
1696191610420,40
1696191611420,40
1696191612420,40
1696191613420,39
1696191614420,40
1696191615420,40
1696191616420,40
1696191617420,40
1696191618420,40
1696191619420,40
1696191620420,40
1696191621420,40
1696191622420,40
1696191623420,40
1696191624420,40
1696191625420,40
1696191626420,40
1696191627420,40
1696191628420,40
1696191629420,40
1696191630420,40
1696191631420,40
1696191632420,40
1696191633420,40
1696191634420,40
1696191635420,40
1696191636420,40
1696191637420,40
1696191638420,40
1696191639420,40
1696191640420,40
1696191641420,40
1696191642420,40
1696191643420,40
1696191644420,40
1696191645420,40
1696191646420,40
1696191647420,40
1696191648420,40
1696191649420,40
1696191650420,40
1696191651420,7
1696191652420,7
1696191653420,40
1696191654420,40
1696191655420,40
1696191656420,40
1696191657420,40
1696191658420,40
1696191659420,40
1696191660420,40
1696191661420,40
1696191662420,40
1696191663420,40
1696191664420,37
1696191665420,37
1696191666420,40
1696191667420,40
1696191668420,40
1696191669420,40
1696191670420,40
1696191671420,40
1696191672420,40
1696191673420,40
1696191674420,40
1696191675420,40
1696191676420,40
1696191677420,40
1696191678420,40
1696191679420,40
1696191680420,40
1696191681420,40
1696191682420,40
1696191683420,1
1696191684420,1
1696191685420,40
1696191686420,40
1696191687420,40
1696191688420,40
1696191689420,40
1696191690420,40
1696191691420,40
1696191692420,40
1696191693420,40
1696191694420,40
1696191695420,40
1696191696420,40
1696191697420,40
1696191698420,40
1696191699420,40
1696191700420,40
1696191701420,40
1696191702420,40
1696191703420,40
1696191704420,40
1696191705420,40
1696191706420,40
1696191707420,40
1696191708420,40
1696191709420,40
1696191710420,40
1696191711420,40
1696191712420,40
1696191713420,34
1696191714420,40
1696191715420,40
1696191716420,40
1696191717420,40
1696191718420,40
1696191719420,40
1696191720420,1
1696191721420,1
1696191722420,40
1696191723420,40
1696191724420,40
1696191725420,40
1696191726420,40
1696191727420,40
1696191728420,40
