time,rps
1696190884257,203.25
1696190885257,206.5
1696190886257,207.5
1696190887257,207
1696190888257,209
1696190889257,219
1696190890257,214.75
1696190891257,208.75
1696190892257,205.75
1696190893257,195.25
1696190894257,197.25
1696190895257,203.75
1696190896257,210.25
1696190897257,207.75
1696190898257,182.75
1696190899257,139
1696190900257,93
1696190901257,55.75
1696190902257,39.25
1696190903257,41.25
1696190904257,38.5
1696190905257,38.25
1696190906257,39.25
1696190907257,40.5
1696190908257,41.5
1696190909257,42.5
1696190910257,41.75
1696190911257,41
1696190912257,42.25
1696190913257,41.75
1696190914257,44
1696190915257,45.75
1696190916257,47.75
1696190917257,46
1696190918257,44.5
1696190919257,40.5
1696190920257,37.75
1696190921257,40.25
1696190922257,38
1696190923257,43.5
1696190924257,43
1696190925257,41.5
1696190926257,44.5
1696190927257,38.5
1696190928257,39.75
1696190929257,40.25
1696190930257,40.25
1696190931257,43.25
1696190932257,42.5
1696190933257,44
1696190934257,43.75
1696190935257,41.75
1696190936257,42.75
1696190937257,40.75
1696190938257,40.5
1696190939257,40.5
1696190940257,38.75
1696190941257,38.5
1696190942257,37
1696190943257,38
1696190944257,39.75
1696190945257,38.75
1696190946257,39.5
1696190947257,38
1696190948257,38.75
1696190949257,40.5
1696190950257,39.75
1696190951257,40.5
1696190952257,43
1696190953257,42.25
1696190954257,42.75
1696190955257,41.75
1696190956257,38
1696190957257,37.25
1696190958257,38.5
1696190959257,40.5
1696190960257,39.25
1696190961257,40
1696190962257,38.5
1696190963257,35
1696190964257,35.5
1696190965257,39.5
1696190966257,42
1696190967257,45.25
1696190968257,43.25
1696190969257,37.5
1696190970257,35.5
1696190971257,35.5
1696190972257,37.25
1696190973257,39.75
1696190974257,39.75
1696190975257,38.25
1696190976257,40.5
1696190977257,39.75
1696190978257,40.75
1696190979257,42
1696190980257,40
1696190981257,41.5
1696190982257,39.75
1696190983257,40.25
1696190984257,41
1696190985257,40.25
1696190986257,41
1696190987257,41.5
1696190988257,41
1696190989257,41.25
1696190990257,42
1696190991257,40.5
1696190992257,41.25
1696190993257,40.5
1696190994257,40
1696190995257,40.75
1696190996257,39
1696190997257,40.5
1696190998257,40
1696190999257,41.5
1696191000257,44.25
1696191001257,41.75
1696191002257,44
1696191003257,38.75
1696191004257,36.25
1696191005257,38
1696191006257,34.75
1696191007257,40
1696191008257,40.25
1696191009257,39.75
1696191010257,41
1696191011257,37
1696191012257,38.75
1696191013257,37
1696191014257,39.25
1696191015257,42.75
1696191016257,42.75
1696191017257,44
1696191018257,42.25
1696191019257,40.5
1696191020257,40
1696191021257,41.5
1696191022257,40
1696191023257,39.5
1696191024257,40.5
1696191025257,39.5
1696191026257,41.5
1696191027257,41.5
1696191028257,40.5
1696191029257,42
1696191030257,41.75
1696191031257,43.75
1696191032257,43
1696191033257,41.5
1696191034257,42.5
1696191035257,43.75
1696191036257,43.75
1696191037257,46
1696191038257,46
1696191039257,41.75
1696191040257,43.75
1696191041257,41
1696191042257,40.25
1696191043257,44
1696191044257,43
1696191045257,45.5
1696191046257,44
1696191047257,42.5
1696191048257,45.5
1696191049257,41
1696191050257,39.75
1696191051257,43.25
1696191052257,40.75
1696191053257,44.75
1696191054257,47
1696191055257,44.25
1696191056257,39.75
1696191057257,38.5
1696191058257,37.5
1696191059257,37.5
1696191060257,39.5
1696191061257,42
1696191062257,42.5
1696191063257,41.75
1696191064257,40.5
1696191065257,38.5
1696191066257,37.75
1696191067257,37.25
1696191068257,40.5
1696191069257,39
1696191070257,40.75
1696191071257,42.5
1696191072257,43.25
1696191073257,44
1696191074257,43.5
1696191075257,40.75
1696191076257,38.75
1696191077257,40.5
1696191078257,34.75
1696191079257,35.75
1696191080257,35.75
1696191081257,35.5
1696191082257,41
1696191083257,43
1696191084257,46.75
1696191085257,44.25
1696191086257,44
1696191087257,45
1696191088257,43.5
1696191089257,44.25
1696191090257,46
1696191091257,43
1696191092257,40.75
1696191093257,45.75
1696191094257,43.25
1696191095257,46
1696191096257,43.75
1696191097257,36.5
1696191098257,38.25
1696191099257,35.5
1696191100257,38.5
1696191101257,40
1696191102257,39.25
1696191103257,40
1696191104257,40.5
1696191105257,41
1696191106257,42
1696191107257,40.25
1696191108257,40.5
1696191109257,40.5
1696191110257,38.25
1696191111257,39.25
1696191112257,38.75
1696191113257,39.75
1696191114257,41.5
1696191115257,41.75
1696191116257,41
1696191117257,40.75
1696191118257,41
1696191119257,39.5
1696191120257,39.75
1696191121257,40.25
1696191122257,40.25
1696191123257,42
1696191124257,40.75
1696191125257,40
1696191126257,38
1696191127257,37.75
1696191128257,40.5
1696191129257,40.25
1696191130257,41.5
1696191131257,41.25
1696191132257,39.25
1696191133257,39.75
1696191134257,41.5
1696191135257,41.75
1696191136257,43.25
1696191137257,45.5
1696191138257,46
1696191139257,47.75
1696191140257,47
1696191141257,43.5
1696191142257,41.75
1696191143257,38.5
1696191144257,37.75
1696191145257,39.25
1696191146257,36.5
1696191147257,36.75
1696191148257,42.25
1696191149257,39.25
1696191150257,43.5
1696191151257,47.25
1696191152257,40
1696191153257,45
1696191154257,42.75
1696191155257,40
1696191156257,43
1696191157257,40
1696191158257,39.5
1696191159257,40.75
1696191160257,40.75
1696191161257,41.75
1696191162257,43
1696191163257,42.25
1696191164257,41.75
1696191165257,41.5
1696191166257,41
1696191167257,40.5
1696191168257,41.5
1696191169257,40.5
1696191170257,41.5
1696191171257,41.25
1696191172257,39.25
1696191173257,39.5
1696191174257,39.75
1696191175257,40.25
1696191176257,41.5
1696191177257,41
1696191178257,39.5
1696191179257,40.5
